Voltage : 14.63 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 3.00 A | Yaw_current : 1.78 A
Voltage : 14.66 V | Pitch angle : 59.00° | Yaw angle : -14.50° | Pitch_current : 3.01 A | Yaw_current : 1.86 A
Voltage : 13.95 V | Pitch angle : 59.00° | Yaw angle : -14.75° | Pitch_current : 3.06 A | Yaw_current : 1.91 A
Voltage : 13.92 V | Pitch angle : 59.00° | Yaw angle : -14.75° | Pitch_current : 3.02 A | Yaw_current : 1.80 A
Voltage : 13.62 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 3.01 A | Yaw_current : 1.80 A
Voltage : 13.72 V | Pitch angle : 59.00° | Yaw angle : -15.00° | Pitch_current : 3.01 A | Yaw_current : 1.88 A
Voltage : 13.24 V | Pitch angle : 59.00° | Yaw angle : -15.25° | Pitch_current : 2.95 A | Yaw_current : 1.81 A
Voltage : 6.51 V | Pitch angle : 59.00° | Yaw angle : -15.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.65 V | Pitch angle : 59.00° | Yaw angle : -15.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.16 V | Pitch angle : 58.75° | Yaw angle : -15.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.96 V | Pitch angle : 58.75° | Yaw angle : -14.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.06 V | Pitch angle : 58.25° | Yaw angle : -14.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.29 V | Pitch angle : 57.50° | Yaw angle : -13.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.37 V | Pitch angle : 56.25° | Yaw angle : -12.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
