Voltage : 1.01 V | Pitch angle : 18.75° | Yaw angle : 1.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.99 V | Pitch angle : 10.00° | Yaw angle : 2.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.91 V | Pitch angle : 1.00° | Yaw angle : 5.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.89 V | Pitch angle : 0.50° | Yaw angle : 5.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.84 V | Pitch angle : 1.00° | Yaw angle : 5.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.81 V | Pitch angle : 2.00° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.78 V | Pitch angle : 2.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.76 V | Pitch angle : 1.25° | Yaw angle : 6.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.73 V | Pitch angle : 0.75° | Yaw angle : 6.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.71 V | Pitch angle : 0.25° | Yaw angle : 6.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.71 V | Pitch angle : 0.25° | Yaw angle : 6.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.66 V | Pitch angle : 0.25° | Yaw angle : 7.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.66 V | Pitch angle : 0.50° | Yaw angle : 7.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 0.61 V | Pitch angle : 0.50° | Yaw angle : 8.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
